"track_name","artist(s)_name","artist_count","in_spotify_playlists","in_spotify_charts","streams","in_apple_playlists","in_deezer_charts","bpm","danceability_%","valence_%","energy_%","acousticness_%","instrumentalness_%","liveness_%","speechiness_%"
"Kill Bill","SZA","1","8109","77","1163093654","183","12","89","64","43","73","5","17","16","4"
"Cupid - Twin Ver.","Fifty Fifty","1","2942","77","496795686","91","6","120","78","76","59","43","0","34","3"
"What Was I Made For? [From The Motion Picture ""Barbie""]","Billie Eilish","1","873","104","30546883","80","24","78","44","14","9","96","0","10","3"
"Classy 101","Feid, Young Miko","2","2610","40","335222234","43","14","100","86","67","66","14","0","12","16"
"Like Crazy","Jimin","1","596","68","363369738","8","2","120","63","36","73","0","0","36","4"
"LADY GAGA","Gabito Ballesteros, Junior H, Peso Pluma","3","332","26","86444842","11","4","140","65","87","74","22","0","42","4"
"I Can See You (Taylor���s Version) (From The","Taylor Swift","1","516","38","52135248","73","1","123","69","82","76","6","0","6","3"
"I Wanna Be Yours","Arctic Monkeys","1","12859","110","1297026226","24","2","135","48","44","42","12","2","11","3"
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma","2","1313","40","200647221","17","11","133","85","81","67","26","0","12","5"
"Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series)","The Weeknd, Madonna, Playboi Carti","3","1945","87","115364561","74","14","99","85","83","68","7","0","36","20"
"SABOR FRESA","Fuerza Regida","1","250","26","78300654","16","5","130","79","96","86","9","0","9","9"
"Calm Down (with Selena Gomez)","R��ma, Selena G","2","7112","77","899183384","202","38","107","80","82","80","43","0","14","4"
"MOJABI GHOST","Tainy, Bad Bunny","2","859","40","61245289","35","14","122","81","74","71","14","0","56","4"
"Last Night","Morgan Wallen","1","2420","19","429829812","52","1","204","52","52","68","46","0","15","4"
"Dance The Night (From Barbie The Album)","Dua Lipa","1","2988","101","127408954","0","38","110","67","78","85","2","0","33","5"
"Rush","Troye Sivan","1","864","78","22581161","71","1","126","74","35","84","0","0","11","6"
"TULUM","Peso Pluma, Grupo Frontera","2","266","34","52294266","20","8","168","56","63","87","39","0","11","5"
